time,value,date
00:00:03,87,2022-11-26
00:00:08,85,2022-11-26
00:00:23,85,2022-11-26
00:00:28,86,2022-11-26
00:00:33,87,2022-11-26
00:00:38,88,2022-11-26
00:00:43,91,2022-11-26
00:00:48,91,2022-11-26
00:00:53,89,2022-11-26
00:00:58,91,2022-11-26
00:01:03,90,2022-11-26
00:01:08,90,2022-11-26
00:01:13,90,2022-11-26
00:01:28,90,2022-11-26
00:01:38,91,2022-11-26
00:01:43,92,2022-11-26
00:01:58,92,2022-11-26
00:02:03,93,2022-11-26
00:02:18,94,2022-11-26
00:02:33,94,2022-11-26
00:02:38,92,2022-11-26
00:02:48,91,2022-11-26
00:02:53,90,2022-11-26
00:03:08,89,2022-11-26
00:03:13,90,2022-11-26
00:03:23,91,2022-11-26
00:03:38,91,2022-11-26
00:03:53,91,2022-11-26
00:04:08,91,2022-11-26
00:04:13,91,2022-11-26
00:04:18,91,2022-11-26
00:04:23,92,2022-11-26
00:04:33,92,2022-11-26
00:04:38,92,2022-11-26
00:04:53,92,2022-11-26
00:05:08,92,2022-11-26
00:05:18,92,2022-11-26
00:05:33,92,2022-11-26
00:05:38,91,2022-11-26
00:05:43,90,2022-11-26
00:05:53,89,2022-11-26
00:06:08,89,2022-11-26
00:06:13,86,2022-11-26
00:06:18,85,2022-11-26
00:06:33,85,2022-11-26
00:06:48,87,2022-11-26
00:06:53,85,2022-11-26
00:07:03,81,2022-11-26
00:07:08,80,2022-11-26
00:07:23,81,2022-11-26
00:07:33,82,2022-11-26
00:07:38,82,2022-11-26
00:07:48,83,2022-11-26
00:07:58,84,2022-11-26
00:08:08,82,2022-11-26
00:08:13,81,2022-11-26
00:08:28,80,2022-11-26
00:08:33,81,2022-11-26
00:08:48,81,2022-11-26
00:08:53,80,2022-11-26
00:09:03,81,2022-11-26
00:09:08,81,2022-11-26
00:09:18,79,2022-11-26
00:09:23,78,2022-11-26
00:09:38,79,2022-11-26
00:09:43,80,2022-11-26
00:09:48,79,2022-11-26
00:09:53,77,2022-11-26
00:10:03,78,2022-11-26
00:10:08,79,2022-11-26
00:10:13,80,2022-11-26
00:10:23,81,2022-11-26
00:10:28,82,2022-11-26
00:10:38,82,2022-11-26
00:10:53,82,2022-11-26
00:10:58,84,2022-11-26
00:11:03,85,2022-11-26
00:11:08,86,2022-11-26
00:11:13,87,2022-11-26
00:11:23,86,2022-11-26
00:11:28,82,2022-11-26
00:11:38,84,2022-11-26
00:11:48,83,2022-11-26
00:11:53,82,2022-11-26
00:11:58,82,2022-11-26
00:12:03,82,2022-11-26
00:12:18,81,2022-11-26
00:12:23,77,2022-11-26
00:12:33,79,2022-11-26
00:12:38,81,2022-11-26
00:12:53,81,2022-11-26
00:12:58,83,2022-11-26
00:13:03,83,2022-11-26
00:13:08,84,2022-11-26
00:13:18,84,2022-11-26
00:13:28,83,2022-11-26
00:13:33,82,2022-11-26
00:13:38,81,2022-11-26
00:13:43,81,2022-11-26
00:13:53,80,2022-11-26
00:13:58,79,2022-11-26
00:14:03,78,2022-11-26
00:14:13,80,2022-11-26
00:14:18,79,2022-11-26
00:14:23,78,2022-11-26
00:14:28,77,2022-11-26
00:14:33,77,2022-11-26
00:14:43,76,2022-11-26
00:14:58,76,2022-11-26
00:15:03,76,2022-11-26
00:15:08,77,2022-11-26
00:15:13,77,2022-11-26
00:15:23,78,2022-11-26
00:15:28,77,2022-11-26
00:15:43,77,2022-11-26
00:15:48,78,2022-11-26
00:15:53,80,2022-11-26
00:16:03,81,2022-11-26
00:16:13,82,2022-11-26
00:16:28,82,2022-11-26
00:16:33,83,2022-11-26
00:16:43,81,2022-11-26
00:16:48,80,2022-11-26
00:16:53,80,2022-11-26
00:17:03,81,2022-11-26
00:17:13,79,2022-11-26
00:17:18,79,2022-11-26
00:17:28,80,2022-11-26
00:17:38,79,2022-11-26
00:17:43,77,2022-11-26
00:17:48,76,2022-11-26
00:17:53,78,2022-11-26
00:17:58,82,2022-11-26
00:18:03,82,2022-11-26
00:18:08,81,2022-11-26
00:18:13,80,2022-11-26
00:18:28,80,2022-11-26
00:18:33,81,2022-11-26
00:18:38,80,2022-11-26
00:18:48,81,2022-11-26
00:18:53,81,2022-11-26
00:18:58,79,2022-11-26
00:19:03,77,2022-11-26
00:19:08,75,2022-11-26
00:19:13,73,2022-11-26
00:19:23,74,2022-11-26
00:19:28,75,2022-11-26
00:19:33,75,2022-11-26
00:19:48,76,2022-11-26
00:19:53,76,2022-11-26
00:20:03,77,2022-11-26
00:20:08,76,2022-11-26
00:20:13,76,2022-11-26
00:20:18,76,2022-11-26
00:20:28,79,2022-11-26
00:20:33,83,2022-11-26
00:20:38,85,2022-11-26
00:20:43,86,2022-11-26
00:20:51,84,2022-11-26
00:20:56,81,2022-11-26
00:21:01,80,2022-11-26
00:21:06,79,2022-11-26
00:21:16,80,2022-11-26
00:21:26,81,2022-11-26
00:21:31,78,2022-11-26
00:21:36,77,2022-11-26
00:21:41,76,2022-11-26
00:21:51,77,2022-11-26
00:21:56,78,2022-11-26
00:22:01,79,2022-11-26
00:22:06,81,2022-11-26
00:22:11,80,2022-11-26
00:22:16,80,2022-11-26
00:22:26,81,2022-11-26
00:22:31,88,2022-11-26
00:22:36,92,2022-11-26
00:22:41,93,2022-11-26
00:22:56,93,2022-11-26
00:23:11,93,2022-11-26
00:23:21,93,2022-11-26
00:23:31,92,2022-11-26
00:23:41,93,2022-11-26
00:23:56,93,2022-11-26
00:24:01,92,2022-11-26
